2021-05-13-14.01.38 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.01.46 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.01.54 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.02.02 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.02.10 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.02.18 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-14.02.26 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-14.02.34 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.02.42 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.02.50 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.02.58 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.03.06 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.03.14 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.03.22 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.03.30 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.03.38 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.03.46 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.03.54 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.04.02 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.04.10 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.04.18 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.04.26 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.04.34 - Current temp: 50.625000, Set point: 51.000000, Relay: On
2021-05-13-14.04.42 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.04.50 - Current temp: 50.687500, Set point: 51.000000, Relay: On
2021-05-13-14.04.58 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.05.06 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.05.14 - Current temp: 50.750000, Set point: 51.000000, Relay: On
2021-05-13-14.05.22 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-14.05.30 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-14.05.38 - Current temp: 50.812500, Set point: 51.000000, Relay: On
2021-05-13-14.05.46 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.05.54 - Current temp: 50.875000, Set point: 51.000000, Relay: On
2021-05-13-14.06.02 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.06.10 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.06.18 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-14.06.26 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-14.06.34 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-14.06.42 - Current temp: 51.000000, Set point: 51.000000, Relay: On
2021-05-13-14.06.50 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.06.58 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.07.06 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.07.14 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.07.22 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.07.30 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.07.38 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.07.46 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-14.07.54 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-14.08.02 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-14.08.10 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-14.08.18 - Current temp: 51.625000, Set point: 51.000000, Relay: Off
2021-05-13-14.08.26 - Current temp: 51.625000, Set point: 51.000000, Relay: Off
2021-05-13-14.08.34 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-14.08.42 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-14.08.50 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-14.08.58 - Current temp: 51.812500, Set point: 51.000000, Relay: Off
2021-05-13-14.09.06 - Current temp: 51.875000, Set point: 51.000000, Relay: Off
2021-05-13-14.09.14 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.09.22 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.09.30 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.09.38 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.09.46 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.09.54 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.10.02 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.10.10 - Current temp: 52.125000, Set point: 51.000000, Relay: Off
2021-05-13-14.10.18 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.10.26 - Current temp: 52.187500, Set point: 51.000000, Relay: Off
2021-05-13-14.10.34 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.10.42 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.10.50 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.10.58 - Current temp: 52.250000, Set point: 51.000000, Relay: Off
2021-05-13-14.11.06 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.11.14 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.11.22 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.11.30 - Current temp: 52.312500, Set point: 51.000000, Relay: Off
2021-05-13-14.11.38 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.11.46 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.11.54 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.02 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.10 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.18 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.26 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.34 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.42 - Current temp: 52.437500, Set point: 51.000000, Relay: Off
2021-05-13-14.12.50 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.12.58 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.06 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.14 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.22 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.30 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.38 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.46 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.13.54 - Current temp: 52.437500, Set point: 51.000000, Relay: Off
2021-05-13-14.14.02 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.14.10 - Current temp: 52.437500, Set point: 51.000000, Relay: Off
2021-05-13-14.14.18 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.14.26 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
2021-05-13-14.14.34 - Current temp: 52.375000, Set point: 51.000000, Relay: Off
